run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
294,1000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,2000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,3000,blk_sdb,0.0,0.0,0.0,2.0,2.0,16.0
294,4000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,5000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,6000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,7000,blk_sdb,0.0,0.0,0.0,4332.0,3861.0,32396.0
294,8000,blk_sdb,0.0,0.0,0.0,749.0,504.0,4600.0
294,9000,blk_sdb,0.0,0.0,0.0,724.0,615.0,5320.0
294,10000,blk_sdb,0.0,0.0,0.0,703.0,680.0,5468.0
294,11000,blk_sdb,0.0,0.0,0.0,720.0,623.0,5300.0
294,12000,blk_sdb,0.0,0.0,0.0,596.0,566.0,4652.0
294,13000,blk_sdb,0.0,0.0,0.0,556.0,546.0,4444.0
294,14000,blk_sdb,0.0,0.0,0.0,517.0,502.0,3972.0
294,15000,blk_sdb,0.0,0.0,0.0,389.0,352.0,2956.0
294,16000,blk_sdb,0.0,0.0,0.0,611.0,400.0,4144.0
294,17000,blk_sdb,0.0,0.0,0.0,339.0,336.0,2436.0
294,18000,blk_sdb,0.0,0.0,0.0,989.0,952.0,7816.0
294,19000,blk_sdb,0.0,0.0,0.0,358.0,309.0,2912.0
294,20000,blk_sdb,0.0,0.0,0.0,362.0,271.0,2648.0
294,21000,blk_sdb,0.0,0.0,0.0,342.0,261.0,2404.0
294,22000,blk_sdb,0.0,0.0,0.0,345.0,297.0,2508.0
294,23000,blk_sdb,0.0,0.0,0.0,403.0,258.0,2956.0
294,24000,blk_sdb,0.0,0.0,0.0,619.0,281.0,3876.0
294,25000,blk_sdb,0.0,0.0,0.0,126.0,53.0,764.0
294,26000,blk_sdb,0.0,0.0,0.0,108.0,85.0,548.0
294,27000,blk_sdb,0.0,0.0,0.0,102.0,43.0,668.0
294,28000,blk_sdb,0.0,0.0,0.0,392.0,254.0,2528.0
294,29000,blk_sdb,0.0,0.0,0.0,859.0,627.0,5396.0
294,30000,blk_sdb,0.0,0.0,0.0,1847.0,1505.0,13616.0
294,31000,blk_sdb,0.0,0.0,0.0,1327.0,1048.0,9616.0
294,32000,blk_sdb,0.0,0.0,0.0,534.0,414.0,3816.0
294,33000,blk_sdb,0.0,0.0,0.0,630.0,512.0,4484.0
294,34000,blk_sdb,0.0,0.0,0.0,692.0,402.0,4744.0
294,35000,blk_sdb,0.0,0.0,0.0,362.0,220.0,2360.0
294,36000,blk_sdb,0.0,0.0,0.0,401.0,148.0,2296.0
294,37000,blk_sdb,0.0,0.0,0.0,365.0,173.0,2076.0
294,38000,blk_sdb,0.0,0.0,0.0,372.0,125.0,2112.0
294,39000,blk_sdb,0.0,0.0,0.0,335.0,210.0,1980.0
294,40000,blk_sdb,0.0,0.0,0.0,291.0,120.0,1776.0
294,41000,blk_sdb,0.0,0.0,0.0,268.0,1090.0,5456.0
294,42000,blk_sdb,0.0,0.0,0.0,327.0,216.0,2144.0
294,43000,blk_sdb,0.0,0.0,0.0,542.0,445.0,4024.0
294,44000,blk_sdb,0.0,0.0,0.0,829.0,367.0,4804.0
294,45000,blk_sdb,0.0,0.0,0.0,883.0,404.0,4948.0
294,46000,blk_sdb,0.0,0.0,0.0,971.0,428.0,5612.0
294,47000,blk_sdb,0.0,0.0,0.0,726.0,216.0,4028.0
294,48000,blk_sdb,0.0,0.0,0.0,567.0,62.0,2500.0
294,49000,blk_sdb,0.0,0.0,0.0,330.0,37.0,1456.0
294,50000,blk_sdb,0.0,0.0,0.0,245.0,1272.0,3448.0
294,51000,blk_sdb,0.0,0.0,0.0,12.0,0.0,2748.0
294,52000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,53000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,54000,blk_sdb,0.0,0.0,0.0,3.0,1.0,16.0
294,55000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,56000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,57000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,58000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,59000,blk_sdb,0.0,0.0,0.0,2.0,2.0,16.0
294,60000,blk_sdb,0.0,0.0,0.0,17.0,120.0,548.0
294,61000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,62000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,63000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,64000,blk_sdb,0.0,0.0,0.0,3.0,1.0,16.0
294,65000,blk_sdb,0.0,0.0,0.0,12.0,0.0,48.0
294,66000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,67000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,68000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,69000,blk_sdb,0.0,0.0,0.0,3.0,1.0,16.0
294,70000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,71000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,72000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,73000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,74000,blk_sdb,0.0,0.0,0.0,2.0,2.0,16.0
294,75000,blk_sdb,0.0,0.0,0.0,36.0,684.0,2880.0
294,76000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,77000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,78000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,79000,blk_sdb,0.0,0.0,0.0,3.0,1.0,16.0
294,80000,blk_sdb,0.0,0.0,0.0,65.0,687.0,3008.0
294,81000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,82000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,83000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,84000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,85000,blk_sdb,0.0,0.0,0.0,4.0,4.0,32.0
294,86000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,87000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,88000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,89000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,90000,blk_sdb,0.0,0.0,0.0,29.0,166.0,780.0
294,91000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,92000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,93000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,94000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,95000,blk_sdb,0.0,0.0,0.0,3.0,1.0,16.0
294,96000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,97000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,98000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,99000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,100000,blk_sdb,0.0,0.0,0.0,3.0,2.0,20.0
294,101000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,102000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,103000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,104000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,105000,blk_sdb,0.0,0.0,0.0,3.0,1.0,16.0
294,106000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,107000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,108000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,109000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,110000,blk_sdb,0.0,0.0,0.0,81.0,696.0,3108.0
294,111000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,112000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,113000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,114000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,115000,blk_sdb,0.0,0.0,0.0,453.0,3627.0,16320.0
294,116000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
