run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
294,1000,net_em1,202512.0,140488.619141,174606.0,99476.5048828
294,2000,net_em1,244248.0,164498.782227,210497.0,114080.972656
294,3000,net_em1,215323.0,143022.083984,227600.0,163878.569336
294,4000,net_em1,232942.0,168780.634766,216881.0,145957.461914
294,5000,net_em1,210764.0,135519.150391,210454.0,135643.563477
294,6000,net_em1,238109.0,171070.924805,243385.0,180772.264648
294,7000,net_em1,206785.0,133735.181641,222094.0,158714.052734
294,8000,net_em1,191065.0,132173.438477,202173.0,149555.112305
294,9000,net_em1,233333.0,169118.299805,236324.0,174745.376953
294,10000,net_em1,39245.0,25676.1035156,46199.0,36745.6347656
294,11000,net_em1,6159.0,1279.17089844,6115.0,1330.16992188
294,12000,net_em1,58007.0,45675.6269531,62616.0,52705.2080078
294,13000,net_em1,66150.0,31674.8925781,67139.0,33878.3369141
294,14000,net_em1,13638.0,11481.5654297,14868.0,13172.3271484
294,15000,net_em1,71891.0,40651.4472656,64595.0,29499.1650391
294,16000,net_em1,214233.0,141100.288086,217303.0,145937.038086
294,17000,net_em1,223478.0,155375.561523,236692.0,177867.244141
294,18000,net_em1,237952.0,165329.214844,232441.0,157700.603516
294,19000,net_em1,243281.0,191065.135742,221919.0,159436.757812
294,20000,net_em1,179239.0,128679.289062,161902.0,103289.271484
294,21000,net_em1,225903.0,145532.09375,228626.0,152139.426758
294,22000,net_em1,250937.0,177881.388672,238905.0,161582.609375
294,23000,net_em1,207974.0,139629.496094,214378.0,151715.243164
294,24000,net_em1,239654.0,162229.194336,238291.0,162517.702148
294,25000,net_em1,198545.0,129168.374023,202081.0,137205.954102
294,26000,net_em1,238769.0,177998.944336,222540.0,153461.792969
294,27000,net_em1,252428.0,188320.310547,262047.0,204978.801758
294,28000,net_em1,210272.0,167073.158203,190299.0,137088.163086
294,29000,net_em1,26550.0,16966.8300781,25012.0,15168.1103516
294,30000,net_em1,98222.0,55322.7890625,102432.0,63019.8847656
294,31000,net_em1,9645.0,2206.23730469,9700.0,2463.39257812
294,32000,net_em1,55542.0,49268.8916016,56261.0,50868.9931641
294,33000,net_em1,83260.0,45706.3945312,83624.0,46050.1767578
294,34000,net_em1,57268.0,40450.9619141,57826.0,41340.8154297
294,35000,net_em1,17263.0,3730.62207031,17248.0,4266.95410156
294,36000,net_em1,92491.0,69226.1953125,102578.0,84712.9521484
294,37000,net_em1,113248.0,76161.828125,121032.0,90416.1982422
294,38000,net_em1,20818.0,9250.43554688,22192.0,11712.9423828
294,39000,net_em1,38533.0,12940.5498047,42631.0,19380.0175781
294,40000,net_em1,109559.0,86601.3193359,118126.0,99764.4082031
294,41000,net_em1,5135.0,1376.33105469,5355.0,1529.60839844
294,42000,net_em1,11.0,1.060546875,9.0,1.861328125
294,43000,net_em1,189780.0,132619.254883,184542.0,125490.219727
294,44000,net_em1,228784.0,150375.796875,243111.0,174394.092773
294,45000,net_em1,228049.0,165389.735352,213529.0,145364.374023
294,46000,net_em1,250151.0,168305.014648,258486.0,184921.192383
294,47000,net_em1,232907.0,148608.104492,228657.0,145146.996094
294,48000,net_em1,219889.0,146101.661133,221428.0,150542.081055
294,49000,net_em1,267056.0,207276.844727,252872.0,186451.94043
294,50000,net_em1,256892.0,188741.668945,243172.0,168973.4375
294,51000,net_em1,234581.0,146183.192383,253355.0,177374.748047
294,52000,net_em1,238276.0,160635.249023,233535.0,154770.076172
294,53000,net_em1,195509.0,123588.869141,213882.0,153562.293945
294,54000,net_em1,95069.0,76577.1162109,115792.0,109041.201172
294,55000,net_em1,70491.0,34400.7431641,76963.0,44323.6503906
294,56000,net_em1,239087.0,162640.351562,226213.0,143753.242188
294,57000,net_em1,243246.0,172638.245117,222761.0,141831.935547
294,58000,net_em1,241870.0,159644.020508,239270.0,157478.133789
294,59000,net_em1,210459.0,164649.080078,185777.0,127876.548828
294,60000,net_em1,218294.0,148462.703125,218675.0,149788.517578
294,61000,net_em1,260982.0,188599.696289,247504.0,169470.197266
294,62000,net_em1,247166.0,172727.861328,249303.0,176163.894531
294,63000,net_em1,248110.0,175167.308594,235322.0,157685.307617
294,64000,net_em1,236939.0,156348.830078,227366.0,144176.873047
294,65000,net_em1,228605.0,140764.948242,240672.0,162553.748047
294,66000,net_em1,224129.0,140731.825195,223245.0,141944.816406
294,67000,net_em1,279128.0,216091.051758,241199.0,159386.186523
294,68000,net_em1,253521.0,180106.553711,261984.0,194871.113281
294,69000,net_em1,247771.0,176407.662109,242010.0,168807.78418
294,70000,net_em1,218314.0,158752.426758,200131.0,133013.610352
294,71000,net_em1,251536.0,175304.424805,265652.0,198199.551758
294,72000,net_em1,250890.0,186433.349609,244480.0,176834.583984
294,73000,net_em1,244348.0,164370.873047,238957.0,159387.063477
294,74000,net_em1,65209.0,37592.6699219,67145.0,41310.8691406
294,75000,net_em1,7651.0,1611.2421875,7908.0,2016.17285156
294,76000,net_em1,238946.0,174429.964844,211408.0,132932.373047
294,77000,net_em1,226401.0,148851.689453,242664.0,175743.289062
294,78000,net_em1,249971.0,169106.107422,252931.0,175326.850586
294,79000,net_em1,230465.0,148528.866211,232912.0,152822.880859
294,80000,net_em1,255382.0,179010.469727,259942.0,188858.884766
294,81000,net_em1,235225.0,160955.584961,245387.0,178592.570312
294,82000,net_em1,252502.0,178620.174805,231209.0,148915.875977
294,83000,net_em1,269557.0,203863.00293,259515.0,191241.896484
294,84000,net_em1,234701.0,157358.707031,230463.0,153444.234375
294,85000,net_em1,54443.0,28062.8623047,57055.0,32380.6464844
294,86000,net_em1,146620.0,98380.1582031,146795.0,99537.8945312
294,87000,net_em1,234546.0,153307.294922,230909.0,149828.316406
294,88000,net_em1,243668.0,168038.117188,247264.0,175374.655273
294,89000,net_em1,266229.0,205193.837891,264469.0,204692.606445
294,90000,net_em1,246433.0,178027.816406,230482.0,156549.720703
294,91000,net_em1,221505.0,167223.998047,226248.0,176436.875
294,92000,net_em1,256210.0,185377.960938,251336.0,180407.472656
294,93000,net_em1,265964.0,194935.385742,255101.0,178816.615234
294,94000,net_em1,256795.0,196917.584961,238116.0,169739.811523
294,95000,net_em1,115432.0,72406.3828125,115279.0,72161.9150391
294,96000,net_em1,236287.0,159854.198242,243977.0,174718.326172
294,97000,net_em1,242640.0,170771.194336,245493.0,175152.381836
294,98000,net_em1,252456.0,176094.429688,261672.0,192451.293945
294,99000,net_em1,267464.0,193767.488281,260228.0,186273.999023
294,100000,net_em1,211889.0,156675.734375,186068.0,118924.495117
294,101000,net_em1,223818.0,161251.006836,207078.0,136826.959961
294,102000,net_em1,230591.0,147946.741211,253061.0,184845.025391
294,103000,net_em1,228579.0,143501.891602,219906.0,131919.994141
294,104000,net_em1,233967.0,156142.154297,235282.0,159896.925781
294,105000,net_em1,219516.0,151813.998047,235751.0,180117.829102
294,106000,net_em1,263486.0,196520.037109,263734.0,199448.557617
294,107000,net_em1,247600.0,174414.310547,261073.0,196642.519531
294,108000,net_em1,262977.0,197500.261719,240313.0,164240.828125
294,109000,net_em1,255150.0,179897.227539,250824.0,176226.915039
294,110000,net_em1,231377.0,147246.244141,231794.0,151067.142578
294,111000,net_em1,239856.0,159208.28418,248278.0,175114.124023
294,112000,net_em1,276134.0,212612.148438,259270.0,188362.660156
294,113000,net_em1,254863.0,186330.626953,248389.0,178853.105469
294,114000,net_em1,295838.0,238941.727539,278307.0,215264.689453
294,115000,net_em1,272822.0,204598.745117,267455.0,199089.499023
294,116000,net_em1,237332.0,156777.222656,244953.0,170429.112305
294,117000,net_em1,244182.0,173613.220703,257129.0,195234.603516
294,118000,net_em1,227618.0,139417.917969,225592.0,138155.640625
294,119000,net_em1,239967.0,169556.599609,243980.0,177356.283203
294,120000,net_em1,260297.0,196443.046875,256233.0,192328.032227
294,121000,net_em1,240526.0,158129.674805,218990.0,127248.602539
294,122000,net_em1,270360.0,210672.908203,274658.0,219462.625977
294,123000,net_em1,259264.0,187905.104492,236665.0,155088.101562
