run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
294,1000,blk_sdd,73.0,0.0,3160.0,0.0,0.0,0.0
294,2000,blk_sdd,113.0,0.0,4080.0,0.0,0.0,0.0
294,3000,blk_sdd,95.0,0.0,3528.0,3.0,1.0,16.0
294,4000,blk_sdd,81.0,0.0,2388.0,0.0,0.0,0.0
294,5000,blk_sdd,71.0,0.0,2472.0,0.0,0.0,0.0
294,6000,blk_sdd,80.0,0.0,2388.0,297.0,2017.0,9256.0
294,7000,blk_sdd,52.0,0.0,1548.0,0.0,0.0,0.0
294,8000,blk_sdd,12.0,0.0,372.0,2.0,5.0,28.0
294,9000,blk_sdd,1.0,0.0,64.0,0.0,0.0,0.0
294,10000,blk_sdd,0.0,0.0,0.0,0.0,0.0,0.0
294,11000,blk_sdd,3.0,0.0,216.0,3.0,0.0,12.0
294,12000,blk_sdd,27.0,0.0,600.0,0.0,0.0,0.0
294,13000,blk_sdd,0.0,0.0,0.0,2.0,2.0,16.0
294,14000,blk_sdd,17.0,0.0,388.0,0.0,0.0,0.0
294,15000,blk_sdd,32.0,0.0,1172.0,0.0,0.0,0.0
294,16000,blk_sdd,21.0,0.0,760.0,0.0,0.0,0.0
294,17000,blk_sdd,23.0,0.0,688.0,0.0,0.0,0.0
294,18000,blk_sdd,37.0,0.0,612.0,2.0,2.0,16.0
294,19000,blk_sdd,16.0,0.0,440.0,0.0,0.0,0.0
294,20000,blk_sdd,28.0,0.0,976.0,0.0,0.0,0.0
294,21000,blk_sdd,22.0,0.0,724.0,0.0,0.0,0.0
294,22000,blk_sdd,19.0,0.0,492.0,0.0,0.0,0.0
294,23000,blk_sdd,14.0,0.0,444.0,3.0,1.0,16.0
294,24000,blk_sdd,36.0,0.0,664.0,0.0,0.0,0.0
294,25000,blk_sdd,31.0,0.0,536.0,0.0,0.0,0.0
294,26000,blk_sdd,29.0,0.0,728.0,0.0,0.0,0.0
294,27000,blk_sdd,10.0,0.0,280.0,0.0,0.0,0.0
294,28000,blk_sdd,1.0,0.0,24.0,2.0,2.0,16.0
294,29000,blk_sdd,3.0,0.0,56.0,0.0,0.0,0.0
294,30000,blk_sdd,7.0,0.0,84.0,0.0,0.0,0.0
294,31000,blk_sdd,15.0,0.0,260.0,0.0,0.0,0.0
294,32000,blk_sdd,9.0,0.0,244.0,0.0,0.0,0.0
294,33000,blk_sdd,0.0,0.0,0.0,2.0,2.0,16.0
294,34000,blk_sdd,5.0,0.0,28.0,0.0,0.0,0.0
294,35000,blk_sdd,12.0,0.0,224.0,0.0,0.0,0.0
294,36000,blk_sdd,13.0,0.0,268.0,156.0,606.0,3048.0
294,37000,blk_sdd,5.0,0.0,28.0,0.0,0.0,0.0
294,38000,blk_sdd,0.0,0.0,0.0,2.0,2.0,16.0
294,39000,blk_sdd,5.0,0.0,68.0,0.0,0.0,0.0
294,40000,blk_sdd,0.0,0.0,0.0,0.0,0.0,0.0
294,41000,blk_sdd,0.0,0.0,0.0,69.0,1211.0,5120.0
294,42000,blk_sdd,33.0,0.0,452.0,0.0,0.0,0.0
294,43000,blk_sdd,25.0,0.0,880.0,2.0,2.0,16.0
294,44000,blk_sdd,32.0,0.0,560.0,0.0,0.0,0.0
294,45000,blk_sdd,24.0,0.0,564.0,0.0,0.0,0.0
294,46000,blk_sdd,21.0,0.0,280.0,0.0,0.0,0.0
294,47000,blk_sdd,43.0,0.0,544.0,0.0,0.0,0.0
294,48000,blk_sdd,17.0,0.0,448.0,0.0,0.0,0.0
294,49000,blk_sdd,27.0,0.0,732.0,2.0,2.0,16.0
294,50000,blk_sdd,23.0,0.0,380.0,0.0,0.0,0.0
294,51000,blk_sdd,22.0,0.0,644.0,0.0,0.0,0.0
294,52000,blk_sdd,23.0,0.0,536.0,0.0,0.0,0.0
294,53000,blk_sdd,2.0,0.0,52.0,0.0,0.0,0.0
294,54000,blk_sdd,33.0,0.0,608.0,2.0,2.0,16.0
294,55000,blk_sdd,8.0,0.0,196.0,0.0,0.0,0.0
294,56000,blk_sdd,6.0,0.0,164.0,0.0,0.0,0.0
294,57000,blk_sdd,11.0,0.0,156.0,0.0,0.0,0.0
294,58000,blk_sdd,4.0,0.0,80.0,0.0,0.0,0.0
294,59000,blk_sdd,15.0,0.0,252.0,2.0,2.0,16.0
294,60000,blk_sdd,32.0,0.0,580.0,0.0,0.0,0.0
294,61000,blk_sdd,16.0,0.0,316.0,0.0,0.0,0.0
294,62000,blk_sdd,22.0,0.0,528.0,0.0,0.0,0.0
294,63000,blk_sdd,14.0,0.0,532.0,0.0,0.0,0.0
294,64000,blk_sdd,3.0,0.0,180.0,2.0,2.0,16.0
294,65000,blk_sdd,10.0,0.0,108.0,0.0,0.0,0.0
