tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,183071,44.960%,0.177s,20.515s,5.0,0.961%,0,N/A
PAYMENT,175198,43.027%,0.026s,19.223s,5.0,N/A,0,N/A
ORDER_STATUS,16237,3.988%,0.078s,13.697s,5.0,N/A,0,N/A
STOCK_LEVEL,16131,3.962%,1.060s,20.785s,20.0,N/A,0,N/A
DELIVERY,16547,4.064%,0.000s,0.001s,5.0,N/A,0,N/A
DELIVERY_BG,16547,N/A,1.547s,19.965s,80.0,N/A,0,0
tpmC,6102.37,23.726%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,13572.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A
