run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
294,1000,blk_sdb,51.0,0.0,2316.0,0.0,0.0,0.0
294,2000,blk_sdb,146.0,0.0,4572.0,0.0,0.0,0.0
294,3000,blk_sdb,100.0,0.0,3752.0,3.0,1.0,16.0
294,4000,blk_sdb,67.0,0.0,2592.0,0.0,0.0,0.0
294,5000,blk_sdb,54.0,0.0,1512.0,0.0,0.0,0.0
294,6000,blk_sdb,63.0,0.0,1500.0,222.0,2121.0,9372.0
294,7000,blk_sdb,50.0,0.0,1456.0,0.0,0.0,0.0
294,8000,blk_sdb,44.0,0.0,1020.0,3.0,4.0,28.0
294,9000,blk_sdb,6.0,0.0,152.0,0.0,0.0,0.0
294,10000,blk_sdb,7.0,0.0,104.0,0.0,0.0,0.0
294,11000,blk_sdb,0.0,0.0,0.0,3.0,0.0,12.0
294,12000,blk_sdb,7.0,0.0,204.0,0.0,0.0,0.0
294,13000,blk_sdb,0.0,0.0,0.0,2.0,2.0,16.0
294,14000,blk_sdb,22.0,0.0,452.0,0.0,0.0,0.0
294,15000,blk_sdb,51.0,0.0,1296.0,0.0,0.0,0.0
294,16000,blk_sdb,24.0,0.0,664.0,0.0,0.0,0.0
294,17000,blk_sdb,41.0,0.0,628.0,0.0,0.0,0.0
294,18000,blk_sdb,14.0,0.0,244.0,2.0,2.0,16.0
294,19000,blk_sdb,27.0,0.0,656.0,0.0,0.0,0.0
294,20000,blk_sdb,27.0,0.0,1076.0,0.0,0.0,0.0
294,21000,blk_sdb,36.0,0.0,660.0,0.0,0.0,0.0
294,22000,blk_sdb,50.0,0.0,628.0,0.0,0.0,0.0
294,23000,blk_sdb,36.0,0.0,688.0,2.0,2.0,16.0
294,24000,blk_sdb,16.0,0.0,296.0,0.0,0.0,0.0
294,25000,blk_sdb,43.0,0.0,756.0,0.0,0.0,0.0
294,26000,blk_sdb,21.0,0.0,476.0,0.0,0.0,0.0
294,27000,blk_sdb,8.0,0.0,124.0,0.0,0.0,0.0
294,28000,blk_sdb,0.0,0.0,0.0,2.0,2.0,16.0
294,29000,blk_sdb,16.0,0.0,276.0,0.0,0.0,0.0
294,30000,blk_sdb,3.0,0.0,16.0,0.0,0.0,0.0
294,31000,blk_sdb,27.0,0.0,316.0,0.0,0.0,0.0
294,32000,blk_sdb,7.0,0.0,264.0,0.0,0.0,0.0
294,33000,blk_sdb,6.0,0.0,64.0,2.0,2.0,16.0
294,34000,blk_sdb,9.0,0.0,176.0,0.0,0.0,0.0
294,35000,blk_sdb,14.0,0.0,360.0,0.0,0.0,0.0
294,36000,blk_sdb,11.0,0.0,308.0,285.0,558.0,3372.0
294,37000,blk_sdb,5.0,0.0,116.0,0.0,0.0,0.0
294,38000,blk_sdb,18.0,0.0,260.0,2.0,2.0,16.0
294,39000,blk_sdb,10.0,0.0,184.0,0.0,0.0,0.0
294,40000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,41000,blk_sdb,0.0,0.0,0.0,64.0,1216.0,5120.0
294,42000,blk_sdb,3.0,0.0,80.0,0.0,0.0,0.0
294,43000,blk_sdb,36.0,0.0,516.0,0.0,0.0,0.0
294,44000,blk_sdb,17.0,0.0,584.0,2.0,2.0,16.0
294,45000,blk_sdb,9.0,0.0,268.0,0.0,0.0,0.0
294,46000,blk_sdb,15.0,0.0,324.0,0.0,0.0,0.0
294,47000,blk_sdb,21.0,0.0,576.0,0.0,0.0,0.0
294,48000,blk_sdb,22.0,0.0,408.0,0.0,0.0,0.0
294,49000,blk_sdb,22.0,0.0,268.0,2.0,2.0,16.0
294,50000,blk_sdb,10.0,0.0,164.0,0.0,0.0,0.0
294,51000,blk_sdb,7.0,0.0,264.0,0.0,0.0,0.0
294,52000,blk_sdb,12.0,0.0,536.0,0.0,0.0,0.0
294,53000,blk_sdb,1.0,0.0,76.0,0.0,0.0,0.0
294,54000,blk_sdb,9.0,0.0,100.0,2.0,2.0,16.0
294,55000,blk_sdb,15.0,0.0,364.0,0.0,0.0,0.0
294,56000,blk_sdb,43.0,0.0,524.0,0.0,0.0,0.0
294,57000,blk_sdb,9.0,0.0,168.0,0.0,0.0,0.0
294,58000,blk_sdb,15.0,0.0,256.0,0.0,0.0,0.0
294,59000,blk_sdb,15.0,0.0,300.0,2.0,2.0,16.0
294,60000,blk_sdb,17.0,0.0,200.0,0.0,0.0,0.0
294,61000,blk_sdb,18.0,0.0,516.0,0.0,0.0,0.0
294,62000,blk_sdb,31.0,0.0,696.0,0.0,0.0,0.0
294,63000,blk_sdb,28.0,0.0,444.0,0.0,0.0,0.0
294,64000,blk_sdb,11.0,0.0,244.0,2.0,2.0,16.0
294,65000,blk_sdb,6.0,0.0,124.0,0.0,0.0,0.0
294,66000,blk_sdb,26.0,0.0,436.0,363.0,835.0,4792.0
294,67000,blk_sdb,19.0,0.0,272.0,0.0,0.0,0.0
294,68000,blk_sdb,34.0,0.0,556.0,0.0,0.0,0.0
294,69000,blk_sdb,1.0,0.0,28.0,2.0,2.0,16.0
294,70000,blk_sdb,18.0,0.0,400.0,0.0,0.0,0.0
294,71000,blk_sdb,15.0,0.0,472.0,0.0,0.0,0.0
294,72000,blk_sdb,8.0,0.0,308.0,0.0,0.0,0.0
294,73000,blk_sdb,1.0,0.0,68.0,0.0,0.0,0.0
294,74000,blk_sdb,6.0,0.0,92.0,2.0,2.0,16.0
294,75000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
294,76000,blk_sdb,7.0,0.0,528.0,56.0,552.0,2432.0
294,77000,blk_sdb,8.0,0.0,300.0,0.0,0.0,0.0
294,78000,blk_sdb,9.0,0.0,128.0,0.0,0.0,0.0
294,79000,blk_sdb,25.0,0.0,284.0,2.0,2.0,16.0
294,80000,blk_sdb,8.0,0.0,164.0,0.0,0.0,0.0
294,81000,blk_sdb,20.0,0.0,468.0,1.0,3.0,16.0
294,82000,blk_sdb,21.0,0.0,536.0,0.0,0.0,0.0
294,83000,blk_sdb,14.0,0.0,184.0,0.0,0.0,0.0
294,84000,blk_sdb,1.0,0.0,96.0,2.0,2.0,16.0
294,85000,blk_sdb,4.0,0.0,92.0,0.0,0.0,0.0
294,86000,blk_sdb,12.0,0.0,312.0,0.0,0.0,0.0
294,87000,blk_sdb,16.0,0.0,368.0,0.0,0.0,0.0
294,88000,blk_sdb,16.0,0.0,124.0,0.0,0.0,0.0
294,89000,blk_sdb,8.0,0.0,240.0,2.0,2.0,16.0
294,90000,blk_sdb,21.0,0.0,340.0,0.0,0.0,0.0
294,91000,blk_sdb,10.0,0.0,464.0,0.0,0.0,0.0
294,92000,blk_sdb,14.0,0.0,328.0,0.0,0.0,0.0
294,93000,blk_sdb,11.0,0.0,336.0,0.0,0.0,0.0
294,94000,blk_sdb,15.0,0.0,268.0,3.0,2.0,20.0
294,95000,blk_sdb,5.0,0.0,72.0,0.0,0.0,0.0
294,96000,blk_sdb,3.0,0.0,56.0,130.0,825.0,3820.0
294,97000,blk_sdb,4.0,0.0,248.0,0.0,0.0,0.0
