run,elapsed,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,vm_nr_dirty
296,1000,0.295352323838,0.0,0.224673377597,0.409509530949,0.0471192974941,0.000214178624973,0.0231312914971,0.0,0.0,0.0,100874
296,2000,0.28542380137,0.0,0.231378424658,0.395226883562,0.0660316780822,0.000107020547945,0.0218321917808,0.0,0.0,0.0,106127
296,3000,0.280482581382,0.0,0.25135636779,0.380496858938,0.0661764705882,7.13877784123e-05,0.0214163335237,0.0,0.0,0.0,110132
296,4000,0.274527645453,0.0,0.242038216561,0.391853556709,0.0707059894021,5.35245945512e-05,0.0208210672804,0.0,0.0,0.0,114802
296,5000,0.272867354364,0.0,0.249497068014,0.388391901725,0.068655566494,4.28027222531e-05,0.0205453066815,0.0,0.0,0.0,118635
296,6000,0.26800371137,0.0,0.242345300121,0.398758118621,0.0706944543573,3.56862465206e-05,0.0201627292841,0.0,0.0,0.0,124629
296,7000,0.267535008867,0.0,0.242432581178,0.400843881857,0.0689170182841,3.05754295848e-05,0.0202409343851,0.0,0.0,0.0,129540
296,8000,0.267232379474,0.0,0.2425783655,0.400165966218,0.0698664239634,2.67687448136e-05,0.0201300960998,0.0,0.0,0.0,134862
296,9000,0.266231911653,0.0,0.242336252856,0.40201351866,0.0692117288652,4.76009139375e-05,0.0201589870526,0.0,0.0,0.0,140108
296,10000,0.269070111175,0.0,0.251162093267,0.393612235717,0.0657412762676,4.28421481053e-05,0.0203714414241,0.0,0.0,0.0,143661
296,11000,0.27167393675,0.0,0.262735628603,0.382438853404,0.062587630472,3.89468764605e-05,0.0205250038947,0.0,0.0,0.0,147277
296,12000,0.27324335904,0.0,0.266709511568,0.378391888032,0.0608754641531,5.35561268209e-05,0.0207262210797,0.0,0.0,0.0,152180
296,13000,0.275814344323,0.0,0.270228856705,0.373667474009,0.0593313891223,4.94290939647e-05,0.0209085067471,0.0,0.0,0.0,156457
296,14000,0.278667707042,0.0,0.279799880663,0.363335934273,0.0568993742446,4.58989305549e-05,0.0212512048469,0.0,0.0,0.0,160184
296,15000,0.280355281383,0.0,0.287223864399,0.356195290522,0.0548201459395,4.28393951077e-05,0.0213625783604,0.0,0.0,0.0,197137
296,16000,0.281338278018,0.0,0.288594647423,0.355254173751,0.0533115552997,5.35525417375e-05,0.0214477929659,0.0,0.0,0.0,234880
296,17000,0.282398598843,0.0,0.295666746469,0.348978743243,0.0513337449441,5.04013205146e-05,0.0215717651802,0.0,0.0,0.0,191736
296,18000,0.278197456548,0.0,0.292782450422,0.354358248373,0.0533553813393,4.75856243829e-05,0.021258877693,0.0,0.0,0.0,185143
296,19000,0.263728348096,0.0,0.277178133687,0.380420713795,0.0584924985087,4.5020202816e-05,0.0201352857095,0.0,0.0,0.0,184411
296,20000,0.253811228033,0.0,0.265776400833,0.40084397201,0.060210458843,4.27327600021e-05,0.019315207521,0.0,0.0,0.0,184025
296,21000,0.255583707276,0.0,0.270541428819,0.395697874375,0.058630198317,5.08766038849e-05,0.0194959146087,0.0,0.0,0.0,186033
296,22000,0.253311451212,0.0,0.2703154133,0.398840506526,0.0582174487259,4.85550031075e-05,0.0192666252331,0.0,0.0,0.0,189428
296,23000,0.24953106138,0.0,0.26549354629,0.407930169932,0.0580369579348,4.64295663479e-05,0.0189618348965,0.0,0.0,0.0,191914
296,24000,0.25193619029,0.0,0.270763971727,0.401739455552,0.0563498139477,4.45101216017e-05,0.0191660583617,0.0,0.0,0.0,195587
296,25000,0.253397261679,0.0,0.273567167496,0.398389826163,0.0552877630207,5.12794215681e-05,0.0193067022204,0.0,0.0,0.0,198769
