run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
296,1000,blk_sdb,212.0,0.0,4808.0,0.0,0.0,0.0
296,2000,blk_sdb,478.0,0.0,9884.0,0.0,0.0,0.0
296,3000,blk_sdb,510.0,0.0,10536.0,3.0,1.0,16.0
296,4000,blk_sdb,512.0,0.0,11184.0,0.0,0.0,0.0
296,5000,blk_sdb,456.0,0.0,10664.0,0.0,0.0,0.0
296,6000,blk_sdb,505.0,0.0,10512.0,0.0,0.0,0.0
296,7000,blk_sdb,546.0,0.0,12688.0,0.0,0.0,0.0
296,8000,blk_sdb,461.0,0.0,10168.0,3.0,1.0,16.0
296,9000,blk_sdb,532.0,0.0,10648.0,0.0,0.0,0.0
296,10000,blk_sdb,406.0,0.0,7744.0,0.0,0.0,0.0
296,11000,blk_sdb,438.0,0.0,9120.0,0.0,0.0,0.0
296,12000,blk_sdb,504.0,0.0,10356.0,0.0,0.0,0.0
296,13000,blk_sdb,404.0,0.0,8792.0,3.0,1.0,16.0
296,14000,blk_sdb,385.0,0.0,7368.0,0.0,0.0,0.0
296,15000,blk_sdb,391.0,0.0,6276.0,0.0,0.0,0.0
296,16000,blk_sdb,316.0,0.0,6052.0,134.0,2659.0,11172.0
296,17000,blk_sdb,389.0,0.0,7012.0,0.0,0.0,0.0
296,18000,blk_sdb,327.0,0.0,5688.0,3.0,4.0,28.0
296,19000,blk_sdb,9.0,0.0,144.0,0.0,0.0,0.0
296,20000,blk_sdb,23.0,0.0,360.0,0.0,0.0,0.0
296,21000,blk_sdb,251.0,0.0,4436.0,3.0,0.0,12.0
296,22000,blk_sdb,190.0,0.0,2940.0,0.0,0.0,0.0
296,23000,blk_sdb,133.0,0.0,2480.0,2.0,2.0,16.0
296,24000,blk_sdb,235.0,0.0,3808.0,0.0,0.0,0.0
296,25000,blk_sdb,149.0,0.0,2852.0,0.0,0.0,0.0
296,26000,blk_sdb,320.0,0.0,5224.0,0.0,0.0,0.0
296,27000,blk_sdb,232.0,0.0,3740.0,0.0,0.0,0.0
296,28000,blk_sdb,238.0,0.0,4468.0,3.0,1.0,16.0
296,29000,blk_sdb,235.0,0.0,3944.0,0.0,0.0,0.0
296,30000,blk_sdb,247.0,0.0,4704.0,0.0,0.0,0.0
296,31000,blk_sdb,226.0,0.0,3116.0,0.0,0.0,0.0
296,32000,blk_sdb,123.0,0.0,1908.0,0.0,0.0,0.0
296,33000,blk_sdb,6.0,0.0,180.0,2.0,2.0,16.0
296,34000,blk_sdb,0.0,0.0,0.0,0.0,0.0,0.0
296,35000,blk_sdb,34.0,0.0,660.0,0.0,0.0,0.0
296,36000,blk_sdb,0.0,0.0,0.0,3069.0,1098.0,16588.0
