run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
296,206000,net_em1,235859.0,193317.53418,184208.0,111431.061523
296,207000,net_em1,241594.0,184765.899414,221751.0,152102.764648
296,208000,net_em1,220398.0,160141.28418,199595.0,124823.480469
296,209000,net_em1,215196.0,153089.474609,190844.0,114319.754883
296,210000,net_em1,245946.0,187638.856445,210584.0,129954.03125
296,211000,net_em1,255741.0,195529.474609,208987.0,122003.0625
296,212000,net_em1,249591.0,200921.017578,213190.0,142401.548828
296,213000,net_em1,232730.0,158087.987305,215372.0,129299.72168
296,214000,net_em1,242759.0,172672.600586,207596.0,116658.775391
296,215000,net_em1,278775.0,231249.226562,229088.0,153074.710938
296,216000,net_em1,235403.0,167177.826172,234895.0,164560.861328
296,217000,net_em1,241379.0,182663.094727,212087.0,136428.841797
296,218000,net_em1,229546.0,156800.109375,211608.0,127709.500977
296,219000,net_em1,240436.0,187346.119141,220057.0,152742.634766
296,220000,net_em1,235819.0,173029.162109,204239.0,123557.224609
296,221000,net_em1,253186.0,194807.373047,228607.0,155496.768555
296,222000,net_em1,224663.0,153960.926758,209683.0,129269.56543
296,223000,net_em1,205498.0,143565.149414,187048.0,113212.014648
296,224000,net_em1,213963.0,155034.25,194322.0,122285.289062
296,225000,net_em1,234761.0,179468.274414,211839.0,141934.453125
296,226000,net_em1,256680.0,209708.306641,213706.0,142377.331055
296,227000,net_em1,247161.0,203776.838867,211030.0,145632.061523
296,228000,net_em1,211699.0,144730.40332,205157.0,132358.608398
296,229000,net_em1,205040.0,148205.994141,184608.0,114969.108398
296,230000,net_em1,230565.0,183827.201172,191490.0,121855.269531
296,231000,net_em1,241662.0,182113.236328,229030.0,160739.435547
296,232000,net_em1,243291.0,191037.238281,221444.0,153289.106445
296,233000,net_em1,258484.0,206509.472656,221192.0,147407.561523
296,234000,net_em1,221126.0,154378.799805,203633.0,125824.057617
296,235000,net_em1,226911.0,163903.196289,222870.0,156017.990234
296,236000,net_em1,244005.0,176786.111328,226583.0,147996.261719
296,237000,net_em1,251648.0,183134.566406,241537.0,165722.321289
296,238000,net_em1,253724.0,194964.538086,234698.0,163414.024414
296,239000,net_em1,213371.0,171485.790039,181046.0,119731.925781
296,240000,net_em1,232566.0,180606.139648,197860.0,124953.09082
296,241000,net_em1,241663.0,189185.970703,225974.0,163517.65918
296,242000,net_em1,244740.0,189823.389648,213749.0,139677.366211
296,243000,net_em1,244751.0,196050.854492,216728.0,149995.739258
296,244000,net_em1,222801.0,167045.270508,188820.0,112485.581055
296,245000,net_em1,237646.0,190961.142578,186992.0,110944.194336
296,246000,net_em1,228034.0,161034.926758,205329.0,123597.319336
296,247000,net_em1,230057.0,171884.998047,210448.0,137915.634766
296,248000,net_em1,228558.0,172925.30957,202840.0,129117.134766
296,249000,net_em1,214984.0,159186.634766,195708.0,126564.578125
296,250000,net_em1,243716.0,186341.34375,225764.0,156648.179688
296,251000,net_em1,243555.0,177518.010742,221861.0,143983.810547
296,252000,net_em1,235059.0,169391.295898,218028.0,141441.972656
296,253000,net_em1,213339.0,145875.657227,209541.0,137404.879883
296,254000,net_em1,252865.0,188531.62793,229682.0,151104.054688
296,255000,net_em1,256215.0,194602.62793,216543.0,130523.642578
296,256000,net_em1,178748.0,136066.508789,154489.0,98247.2431641
296,257000,net_em1,245317.0,189914.482422,212349.0,138277.27832
296,258000,net_em1,225427.0,167294.660156,204048.0,132495.157227
296,259000,net_em1,244846.0,196539.87793,210933.0,142807.564453
296,260000,net_em1,252644.0,209171.893555,220629.0,157366.539062
296,261000,net_em1,232368.0,184570.554688,219677.0,164045.208008
296,262000,net_em1,238934.0,186962.897461,200208.0,124122.6875
296,263000,net_em1,234923.0,187901.166016,194101.0,123366.185547
296,264000,net_em1,225677.0,148507.805664,213623.0,126815.000977
296,265000,net_em1,216570.0,155540.668945,191550.0,115307.228516
296,266000,net_em1,227649.0,163331.28418,188453.0,102275.948242
296,267000,net_em1,264182.0,212421.669922,227473.0,153337.753906
296,268000,net_em1,253097.0,199438.748047,218244.0,142317.367188
296,269000,net_em1,229528.0,163825.208008,199213.0,115293.263672
296,270000,net_em1,240519.0,175826.060547,213804.0,134075.106445
296,271000,net_em1,231052.0,164989.117188,209927.0,130672.365234
296,272000,net_em1,257955.0,205730.30957,207976.0,126392.803711
296,273000,net_em1,239936.0,184103.014648,196877.0,113487.129883
296,274000,net_em1,259000.0,223114.28418,207233.0,140585.59668
296,275000,net_em1,220132.0,157028.174805,199280.0,121651.492188
296,276000,net_em1,228171.0,165568.30957,191327.0,107271.371094
296,277000,net_em1,261657.0,206538.227539,222993.0,144925.553711
296,278000,net_em1,259019.0,208672.044922,213888.0,137154.550781
296,279000,net_em1,246494.0,190710.977539,212977.0,135953.131836
296,280000,net_em1,253105.0,195541.666992,217587.0,138117.560547
296,281000,net_em1,234234.0,174545.349609,197329.0,115864.495117
296,282000,net_em1,233161.0,171584.980469,200219.0,119248.049805
296,283000,net_em1,232394.0,171083.958008,218183.0,147819.981445
296,284000,net_em1,228908.0,158997.680664,219918.0,142972.108398
296,285000,net_em1,253697.0,196234.811523,211248.0,128924.263672
296,286000,net_em1,251342.0,196377.654297,223505.0,151309.520508
296,287000,net_em1,233662.0,168886.833008,214855.0,138162.861328
296,288000,net_em1,250766.0,193326.587891,246909.0,185080.143555
296,289000,net_em1,251005.0,202769.260742,219085.0,152393.342773
296,290000,net_em1,236563.0,181774.99707,213552.0,143610.212891
296,291000,net_em1,218002.0,157252.063477,195290.0,119909.05957
296,292000,net_em1,222002.0,147456.381836,208409.0,124975.306641
296,293000,net_em1,263035.0,210314.53418,216664.0,138574.700195
296,294000,net_em1,234656.0,174568.220703,203863.0,125599.696289
296,295000,net_em1,245234.0,187828.19043,214918.0,139267.066406
296,296000,net_em1,249979.0,192047.088867,208012.0,125617.548828
296,297000,net_em1,241317.0,175318.874023,223753.0,146288.005859
296,298000,net_em1,243143.0,176661.316406,207199.0,120570.844727
296,299000,net_em1,237040.0,179388.935547,208193.0,131631.614258
296,300000,net_em1,251802.0,198366.289062,217091.0,142644.719727
296,301000,net_em1,229215.0,164137.197266,198912.0,116317.520508
296,302000,net_em1,239352.0,181511.40332,203562.0,125605.975586
296,303000,net_em1,239047.0,169105.686523,217335.0,134038.851562
296,304000,net_em1,248914.0,200150.578125,198325.0,119176.323242
296,305000,net_em1,242720.0,183302.408203,208932.0,127916.44043
296,306000,net_em1,234178.0,174297.060547,201062.0,121355.246094
296,307000,net_em1,266113.0,217466.560547,234727.0,167853.077148
296,308000,net_em1,249996.0,193773.87207,231299.0,163197.126953
296,309000,net_em1,218538.0,164320.8125,193156.0,123535.115234
296,310000,net_em1,247787.0,205492.447266,211713.0,146495.162109
296,311000,net_em1,242365.0,187662.607422,211251.0,137151.103516
296,312000,net_em1,230396.0,176226.912109,207269.0,137968.160156
296,313000,net_em1,259404.0,209121.883789,235142.0,170122.567383
296,314000,net_em1,236816.0,158096.129883,225869.0,139871.685547
296,315000,net_em1,240290.0,177909.095703,220732.0,146682.463867
296,316000,net_em1,245294.0,187005.525391,215172.0,138600.601562
296,317000,net_em1,255655.0,206850.979492,217437.0,145790.516602
296,318000,net_em1,220775.0,168176.977539,189411.0,117487.022461
296,319000,net_em1,237059.0,184482.681641,224517.0,163028.837891
296,320000,net_em1,234793.0,171405.623047,197515.0,111776.119141
296,321000,net_em1,220542.0,150518.878906,209801.0,131626.214844
296,322000,net_em1,214710.0,139858.704102,197316.0,111038.962891
296,323000,net_em1,245051.0,191889.674805,206209.0,129401.443359
296,324000,net_em1,213580.0,145718.931641,187057.0,102638.413086
296,325000,net_em1,232535.0,170835.620117,203428.0,123819.297852
296,326000,net_em1,232624.0,166257.067383,222763.0,148712.501953
296,327000,net_em1,247500.0,185937.850586,222470.0,144495.254883
296,328000,net_em1,249413.0,200881.522461,228915.0,167492.459961
296,329000,net_em1,246389.0,192933.230469,211683.0,137684.71582
296,330000,net_em1,241150.0,177822.855469,227669.0,155935.272461
296,331000,net_em1,229535.0,177939.129883,194129.0,122851.65625
296,332000,net_em1,255969.0,200738.216797,229986.0,160125.901367
296,333000,net_em1,231226.0,163890.709961,200643.0,115570.323242
296,334000,net_em1,235445.0,169266.457031,213420.0,133246.96582
296,335000,net_em1,269165.0,222179.603516,218006.0,140947.958984
296,336000,net_em1,253142.0,193534.955078,242387.0,174730.310547
296,337000,net_em1,237700.0,177611.816406,206492.0,127865.53418
296,338000,net_em1,227953.0,168292.606445,187738.0,104082.481445
296,339000,net_em1,215638.0,144576.734375,210689.0,135613.366211
296,340000,net_em1,252538.0,196851.548828,201923.0,117305.371094
296,341000,net_em1,236773.0,170783.017578,214586.0,134417.746094
296,342000,net_em1,258681.0,212458.137695,207999.0,132268.798828
296,343000,net_em1,225049.0,160803.257812,216040.0,143768.563477
296,344000,net_em1,237472.0,175065.425781,215153.0,138823.305664
296,345000,net_em1,251321.0,198112.328125,194801.0,107945.144531
296,346000,net_em1,226660.0,173605.899414,212612.0,148963.500977
296,347000,net_em1,228818.0,166383.856445,216298.0,143837.733398
296,348000,net_em1,245795.0,179808.417969,235313.0,161965.621094
296,349000,net_em1,230585.0,163382.009766,216206.0,139231.495117
296,350000,net_em1,259977.0,204838.984375,215579.0,133886.513672
296,351000,net_em1,260027.0,210325.84668,215719.0,139891.628906
296,352000,net_em1,238828.0,179905.291016,208386.0,130539.964844
296,353000,net_em1,252081.0,198462.804688,235529.0,171402.571289
296,354000,net_em1,241279.0,184781.99707,208492.0,133338.523438
296,355000,net_em1,240311.0,175498.076172,227000.0,152372.222656
296,356000,net_em1,245597.0,192386.283203,212465.0,139855.079102
296,357000,net_em1,212523.0,129612.496094,185481.0,87222.8349609
296,358000,net_em1,237131.0,181871.850586,206624.0,131586.674805
296,359000,net_em1,241746.0,185592.651367,210251.0,134706.50293
296,360000,net_em1,229767.0,170406.560547,237449.0,179046.161133
296,361000,net_em1,242742.0,180125.704102,228194.0,155903.791016
296,362000,net_em1,228221.0,169946.884766,205944.0,133696.494141
296,363000,net_em1,240968.0,178224.297852,221945.0,146680.158203
296,364000,net_em1,234570.0,182042.097656,209286.0,141905.176758
296,365000,net_em1,230402.0,170419.87207,208347.0,133633.521484
296,366000,net_em1,258451.0,212854.012695,244476.0,188903.826172
296,367000,net_em1,234450.0,165475.756836,211877.0,128799.742188
296,368000,net_em1,250502.0,195590.472656,226307.0,156864.876953
296,369000,net_em1,256145.0,212160.919922,207293.0,134825.977539
296,370000,net_em1,212026.0,142040.277344,198988.0,118987.649414
296,371000,net_em1,245517.0,190788.783203,208931.0,131482.083008
296,372000,net_em1,242380.0,183345.891602,209199.0,128944.212891
296,373000,net_em1,228380.0,162117.770508,208535.0,129577.762695
296,374000,net_em1,244711.0,192199.314453,209355.0,136029.888672
296,375000,net_em1,237917.0,169722.978516,222425.0,144655.879883
296,376000,net_em1,245154.0,186102.133789,203759.0,120992.138672
296,377000,net_em1,242668.0,186245.012695,204839.0,126018.097656
296,378000,net_em1,246248.0,196183.095703,208859.0,135184.524414
296,379000,net_em1,229451.0,162638.240234,206733.0,125377.420898
296,380000,net_em1,244124.0,187263.928711,187466.0,98073.6816406
296,381000,net_em1,254647.0,209738.943359,212927.0,143405.408203
296,382000,net_em1,247967.0,202318.317383,202159.0,129097.961914
296,383000,net_em1,230030.0,166784.219727,202504.0,122367.137695
296,384000,net_em1,232397.0,170637.805664,197550.0,114358.411133
296,385000,net_em1,223227.0,147433.757812,196814.0,103803.71875
