run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
294,1000,blk_sde,72.0,0.0,2276.0,0.0,0.0,0.0
294,2000,blk_sde,115.0,0.0,3316.0,0.0,0.0,0.0
294,3000,blk_sde,102.0,0.0,4072.0,3.0,1.0,16.0
294,4000,blk_sde,59.0,0.0,1836.0,0.0,0.0,0.0
294,5000,blk_sde,47.0,0.0,1724.0,0.0,0.0,0.0
294,6000,blk_sde,62.0,0.0,2248.0,8362.0,3398.0,47040.0
294,7000,blk_sde,57.0,0.0,2040.0,0.0,0.0,0.0
294,8000,blk_sde,44.0,0.0,1284.0,2.0,5.0,28.0
294,9000,blk_sde,7.0,0.0,140.0,0.0,0.0,0.0
294,10000,blk_sde,1.0,0.0,8.0,0.0,0.0,0.0
294,11000,blk_sde,9.0,0.0,484.0,3.0,0.0,12.0
294,12000,blk_sde,19.0,0.0,436.0,0.0,0.0,0.0
294,13000,blk_sde,0.0,0.0,0.0,2.0,2.0,16.0
294,14000,blk_sde,18.0,0.0,452.0,0.0,0.0,0.0
294,15000,blk_sde,32.0,0.0,1024.0,0.0,0.0,0.0
294,16000,blk_sde,39.0,0.0,864.0,0.0,0.0,0.0
294,17000,blk_sde,51.0,0.0,1500.0,0.0,0.0,0.0
294,18000,blk_sde,18.0,0.0,320.0,2.0,2.0,16.0
294,19000,blk_sde,33.0,0.0,888.0,0.0,0.0,0.0
294,20000,blk_sde,38.0,0.0,1524.0,0.0,0.0,0.0
294,21000,blk_sde,41.0,0.0,980.0,0.0,0.0,0.0
294,22000,blk_sde,28.0,0.0,368.0,0.0,0.0,0.0
294,23000,blk_sde,37.0,0.0,1040.0,2.0,2.0,16.0
294,24000,blk_sde,16.0,0.0,292.0,0.0,0.0,0.0
294,25000,blk_sde,51.0,0.0,1020.0,0.0,0.0,0.0
294,26000,blk_sde,41.0,0.0,1044.0,0.0,0.0,0.0
294,27000,blk_sde,5.0,0.0,72.0,0.0,0.0,0.0
294,28000,blk_sde,15.0,0.0,204.0,3.0,1.0,16.0
294,29000,blk_sde,5.0,0.0,188.0,0.0,0.0,0.0
294,30000,blk_sde,5.0,0.0,88.0,0.0,0.0,0.0
294,31000,blk_sde,11.0,0.0,224.0,0.0,0.0,0.0
294,32000,blk_sde,15.0,0.0,400.0,0.0,0.0,0.0
294,33000,blk_sde,4.0,0.0,56.0,3.0,1.0,16.0
294,34000,blk_sde,8.0,0.0,124.0,0.0,0.0,0.0
294,35000,blk_sde,11.0,0.0,352.0,0.0,0.0,0.0
294,36000,blk_sde,16.0,0.0,140.0,110.0,600.0,2840.0
294,37000,blk_sde,0.0,0.0,0.0,0.0,0.0,0.0
294,38000,blk_sde,4.0,0.0,44.0,2.0,2.0,16.0
294,39000,blk_sde,2.0,0.0,24.0,0.0,0.0,0.0
294,40000,blk_sde,0.0,0.0,0.0,0.0,0.0,0.0
294,41000,blk_sde,1.0,0.0,32.0,19.0,1245.0,5056.0
294,42000,blk_sde,12.0,0.0,132.0,0.0,0.0,0.0
294,43000,blk_sde,35.0,0.0,824.0,2.0,2.0,16.0
294,44000,blk_sde,21.0,0.0,372.0,0.0,0.0,0.0
294,45000,blk_sde,40.0,0.0,732.0,0.0,0.0,0.0
294,46000,blk_sde,24.0,0.0,584.0,0.0,0.0,0.0
294,47000,blk_sde,8.0,0.0,372.0,0.0,0.0,0.0
294,48000,blk_sde,28.0,0.0,544.0,2.0,2.0,16.0
294,49000,blk_sde,10.0,0.0,360.0,0.0,0.0,0.0
294,50000,blk_sde,18.0,0.0,272.0,0.0,0.0,0.0
294,51000,blk_sde,20.0,0.0,408.0,0.0,0.0,0.0
294,52000,blk_sde,18.0,0.0,272.0,0.0,0.0,0.0
294,53000,blk_sde,0.0,0.0,0.0,0.0,0.0,0.0
294,54000,blk_sde,14.0,0.0,164.0,3.0,1.0,16.0
294,55000,blk_sde,24.0,0.0,488.0,0.0,0.0,0.0
294,56000,blk_sde,10.0,0.0,356.0,0.0,0.0,0.0
294,57000,blk_sde,15.0,0.0,380.0,0.0,0.0,0.0
294,58000,blk_sde,18.0,0.0,472.0,0.0,0.0,0.0
294,59000,blk_sde,14.0,0.0,372.0,2.0,2.0,16.0
294,60000,blk_sde,16.0,0.0,452.0,0.0,0.0,0.0
294,61000,blk_sde,20.0,0.0,328.0,0.0,0.0,0.0
294,62000,blk_sde,30.0,0.0,492.0,0.0,0.0,0.0
294,63000,blk_sde,15.0,0.0,612.0,0.0,0.0,0.0
294,64000,blk_sde,20.0,0.0,392.0,2.0,2.0,16.0
294,65000,blk_sde,10.0,0.0,124.0,0.0,0.0,0.0
294,66000,blk_sde,15.0,0.0,300.0,166.0,859.0,4100.0
294,67000,blk_sde,25.0,0.0,500.0,0.0,0.0,0.0
294,68000,blk_sde,35.0,0.0,528.0,0.0,0.0,0.0
294,69000,blk_sde,9.0,0.0,188.0,2.0,2.0,16.0
294,70000,blk_sde,24.0,0.0,264.0,0.0,0.0,0.0
294,71000,blk_sde,17.0,0.0,568.0,0.0,0.0,0.0
294,72000,blk_sde,14.0,0.0,272.0,0.0,0.0,0.0
294,73000,blk_sde,1.0,0.0,44.0,0.0,0.0,0.0
294,74000,blk_sde,13.0,0.0,228.0,2.0,2.0,16.0
294,75000,blk_sde,5.0,0.0,144.0,0.0,0.0,0.0
294,76000,blk_sde,15.0,0.0,640.0,255.0,2001.0,9024.0
294,77000,blk_sde,12.0,0.0,268.0,0.0,0.0,0.0
294,78000,blk_sde,4.0,0.0,112.0,0.0,0.0,0.0
294,79000,blk_sde,16.0,0.0,332.0,2.0,2.0,16.0
294,80000,blk_sde,22.0,0.0,344.0,0.0,0.0,0.0
294,81000,blk_sde,14.0,0.0,244.0,0.0,0.0,0.0
294,82000,blk_sde,13.0,0.0,244.0,0.0,0.0,0.0
294,83000,blk_sde,2.0,0.0,120.0,0.0,0.0,0.0
294,84000,blk_sde,1.0,0.0,4.0,2.0,2.0,16.0
294,85000,blk_sde,8.0,0.0,200.0,0.0,0.0,0.0
294,86000,blk_sde,15.0,0.0,296.0,0.0,0.0,0.0
294,87000,blk_sde,5.0,0.0,40.0,0.0,0.0,0.0
294,88000,blk_sde,14.0,0.0,332.0,0.0,0.0,0.0
294,89000,blk_sde,11.0,0.0,368.0,2.0,2.0,16.0
294,90000,blk_sde,11.0,0.0,368.0,0.0,0.0,0.0
294,91000,blk_sde,31.0,0.0,572.0,0.0,0.0,0.0
294,92000,blk_sde,11.0,0.0,232.0,0.0,0.0,0.0
294,93000,blk_sde,10.0,0.0,200.0,0.0,0.0,0.0
294,94000,blk_sde,0.0,0.0,0.0,3.0,2.0,20.0
294,95000,blk_sde,15.0,0.0,124.0,0.0,0.0,0.0
294,96000,blk_sde,12.0,0.0,264.0,195.0,964.0,4636.0
294,97000,blk_sde,13.0,0.0,264.0,0.0,0.0,0.0
294,98000,blk_sde,22.0,0.0,588.0,0.0,0.0,0.0
294,99000,blk_sde,11.0,0.0,252.0,2.0,2.0,16.0
294,100000,blk_sde,13.0,0.0,204.0,0.0,0.0,0.0
294,101000,blk_sde,11.0,0.0,216.0,0.0,0.0,0.0
294,102000,blk_sde,21.0,0.0,304.0,0.0,0.0,0.0
294,103000,blk_sde,9.0,0.0,248.0,0.0,0.0,0.0
294,104000,blk_sde,12.0,0.0,116.0,2.0,2.0,16.0
294,105000,blk_sde,7.0,0.0,156.0,0.0,0.0,0.0
294,106000,blk_sde,4.0,0.0,88.0,0.0,0.0,0.0
294,107000,blk_sde,11.0,0.0,196.0,0.0,0.0,0.0
294,108000,blk_sde,9.0,0.0,148.0,0.0,0.0,0.0
294,109000,blk_sde,13.0,0.0,304.0,2.0,2.0,16.0
294,110000,blk_sde,9.0,0.0,92.0,0.0,0.0,0.0
294,111000,blk_sde,5.0,0.0,80.0,215.0,2121.0,9344.0
294,112000,blk_sde,15.0,0.0,372.0,0.0,0.0,0.0
294,113000,blk_sde,1.0,0.0,4.0,0.0,0.0,0.0
294,114000,blk_sde,6.0,0.0,268.0,2.0,2.0,16.0
294,115000,blk_sde,3.0,0.0,84.0,0.0,0.0,0.0
294,116000,blk_sde,8.0,0.0,356.0,0.0,0.0,0.0
294,117000,blk_sde,12.0,0.0,80.0,0.0,0.0,0.0
294,118000,blk_sde,15.0,0.0,176.0,0.0,0.0,0.0
294,119000,blk_sde,14.0,0.0,364.0,2.0,2.0,16.0
294,120000,blk_sde,9.0,0.0,92.0,0.0,0.0,0.0
294,121000,blk_sde,11.0,0.0,356.0,0.0,0.0,0.0
294,122000,blk_sde,3.0,0.0,96.0,0.0,0.0,0.0
294,123000,blk_sde,3.0,0.0,104.0,0.0,0.0,0.0
294,124000,blk_sde,22.0,0.0,532.0,2.0,2.0,16.0
294,125000,blk_sde,22.0,0.0,432.0,0.0,0.0,0.0
294,126000,blk_sde,8.0,0.0,168.0,233.0,1054.0,5148.0
294,127000,blk_sde,17.0,0.0,336.0,0.0,0.0,0.0
294,128000,blk_sde,7.0,0.0,60.0,0.0,0.0,0.0
294,129000,blk_sde,9.0,0.0,192.0,2.0,2.0,16.0
294,130000,blk_sde,8.0,0.0,156.0,0.0,0.0,0.0
294,131000,blk_sde,19.0,0.0,368.0,0.0,0.0,0.0
294,132000,blk_sde,12.0,0.0,328.0,0.0,0.0,0.0
294,133000,blk_sde,18.0,0.0,272.0,0.0,0.0,0.0
294,134000,blk_sde,0.0,0.0,0.0,2.0,2.0,16.0
