run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
294,1000,net_em1,189646.0,127818.852539,169516.0,95916.8769531
294,2000,net_em1,209881.0,152269.376953,193139.0,126183.719727
294,3000,net_em1,234831.0,156125.319336,215012.0,126507.619141
294,4000,net_em1,237639.0,168264.566406,229232.0,155368.805664
294,5000,net_em1,248186.0,187269.706055,244959.0,182053.544922
294,6000,net_em1,234176.0,162243.013672,235877.0,166771.098633
294,7000,net_em1,236719.0,172113.59668,216728.0,141341.75
294,8000,net_em1,228202.0,176188.258789,237890.0,191583.150391
294,9000,net_em1,229578.0,165323.711914,215454.0,143503.276367
294,10000,net_em1,164874.0,118372.475586,158690.0,109378.368164
294,11000,net_em1,23957.0,19812.2490234,24170.0,20014.828125
294,12000,net_em1,41839.0,27703.6337891,40903.0,27028.9697266
294,13000,net_em1,19646.0,9661.13574219,22577.0,14513.4101562
294,14000,net_em1,69440.0,36278.046875,83004.0,57866.9873047
294,15000,net_em1,22816.0,17550.3115234,22947.0,17841.8046875
294,16000,net_em1,139725.0,82071.0800781,141773.0,85750.7197266
294,17000,net_em1,244905.0,195436.380859,224325.0,165139.713867
294,18000,net_em1,225694.0,144253.71582,227298.0,147018.808594
294,19000,net_em1,253136.0,183042.697266,258315.0,191955.476562
294,20000,net_em1,193157.0,149326.0625,190519.0,145923.19043
294,21000,net_em1,218978.0,151748.006836,225114.0,160299.884766
294,22000,net_em1,246867.0,174737.268555,240868.0,165250.251953
294,23000,net_em1,202240.0,115015.675781,230240.0,157795.660156
294,24000,net_em1,218202.0,145851.242188,231030.0,166282.6875
294,25000,net_em1,221748.0,157892.268555,220797.0,155219.939453
294,26000,net_em1,224915.0,164669.666992,219371.0,155783.916992
294,27000,net_em1,257913.0,191277.745117,268038.0,206651.442383
294,28000,net_em1,246187.0,184759.102539,258489.0,203250.28125
294,29000,net_em1,100215.0,64865.8271484,125908.0,105214.65625
294,30000,net_em1,33677.0,8176.828125,40732.0,18121.9941406
294,31000,net_em1,72736.0,49167.0654297,68547.0,43328.3925781
294,32000,net_em1,3131.0,904.150390625,2858.0,627.134765625
294,33000,net_em1,59127.0,48447.6259766,58360.0,47250.3916016
294,34000,net_em1,144314.0,98480.5078125,133279.0,81526.0576172
294,35000,net_em1,15574.0,4007.98339844,15265.0,3562.74414062
294,36000,net_em1,31454.0,22116.5439453,32411.0,23637.4667969
294,37000,net_em1,165823.0,145565.6875,159346.0,136177.295898
294,38000,net_em1,56491.0,34631.3574219,57869.0,35948.9580078
294,39000,net_em1,26548.0,12092.5224609,24078.0,7944.31054688
294,40000,net_em1,63349.0,42692.6582031,53570.0,27957.2333984
294,41000,net_em1,78272.0,53054.796875,94523.0,78870.296875
294,42000,net_em1,886.0,249.247070312,910.0,246.190429688
294,43000,net_em1,39240.0,28324.3125,40991.0,30927.3974609
294,44000,net_em1,211629.0,126018.253906,235970.0,162464.499023
294,45000,net_em1,236625.0,162366.589844,233905.0,158845.870117
294,46000,net_em1,210924.0,145687.928711,201211.0,130049.574219
294,47000,net_em1,235124.0,155426.307617,243440.0,168274.972656
294,48000,net_em1,229944.0,151991.142578,226781.0,146181.183594
294,49000,net_em1,223210.0,154411.506836,231926.0,167776.466797
294,50000,net_em1,243522.0,171013.463867,252311.0,185192.020508
294,51000,net_em1,259630.0,187104.558594,264792.0,194617.880859
294,52000,net_em1,243404.0,165161.897461,249789.0,175265.568359
294,53000,net_em1,243074.0,168304.964844,246259.0,174386.719727
294,54000,net_em1,196434.0,155757.81543,176481.0,124978.490234
