run,elapsed,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,vm_nr_dirty
294,1000,0.173113506658,0.0,0.0405833861763,0.762418093426,0.0120481927711,0.0,0.0118368209681,0.0,0.0,0.0,131347
294,2000,0.181943560365,0.0,0.0413749204328,0.747082537662,0.0181413112667,0.0,0.0114576702737,0.0,0.0,0.0,136839
294,3000,0.192925362575,0.0,0.041598868058,0.73555005306,0.0183940573046,7.07463742483e-05,0.0114609126282,0.0,0.0,0.0,142330
294,4000,0.191956221443,0.0,0.0416533843375,0.736744235469,0.0180639676974,5.3129316757e-05,0.0115290617363,0.0,0.0,0.0,147627
294,5000,0.195554233254,0.0,0.0420350221013,0.732913974838,0.0176810608637,4.2502550153e-05,0.0117732063924,0.0,0.0,0.0,103339
294,6000,0.191652198561,0.0,0.0408177727385,0.739148921093,0.0169365411189,3.54320943911e-05,0.0114091343939,0.0,0.0,0.0,107514
294,7000,0.193173190804,0.0,0.0405721400589,0.738315770294,0.0165507607276,3.03683683076e-05,0.011357769747,0.0,0.0,0.0,111023
294,8000,0.189441818472,0.0,0.0395400711668,0.74356046524,0.016304636465,2.65547825163e-05,0.0111264538743,0.0,0.0,0.0,108487
294,9000,0.171135721018,0.0,0.0357445805844,0.761663524976,0.0213949104618,2.35626767201e-05,0.0100377002828,0.0,0.0,0.0,108333
294,10000,0.155667068962,0.0,0.0325859111986,0.777234326367,0.0253657710305,2.11734315781e-05,0.00912574901014,0.0,0.0,0.0,107956
294,11000,0.143870781656,0.0,0.0302086337852,0.790731660417,0.0267474281319,1.92289202961e-05,0.0084222670897,0.0,0.0,0.0,107338
294,12000,0.136259515083,0.0,0.0287566957993,0.797416831125,0.0296024809698,1.76205243868e-05,0.00794685649845,0.0,0.0,0.0,108076
294,13000,0.126551836204,0.0,0.0266980825479,0.805801104972,0.0335554111147,1.62495937602e-05,0.00737731556711,0.0,0.0,0.0,107936
294,14000,0.12330275783,0.0,0.0261299861203,0.80951662543,0.0338392372217,1.50865970672e-05,0.00719630680104,0.0,0.0,0.0,109742
294,15000,0.127514509495,0.0,0.0267932608328,0.805600946639,0.0325829717699,1.40868879247e-05,0.00749422437595,0.0,0.0,0.0,113996
294,16000,0.131867115778,0.0,0.0277656693745,0.80167756423,0.0309226603263,1.3209167162e-05,0.0077537811241,0.0,0.0,0.0,117973
294,17000,0.135602074704,0.0,0.0285831560879,0.798363123002,0.0294787118922,1.243827506e-05,0.00796049603841,0.0,0.0,0.0,121233
294,18000,0.137482522412,0.0,0.0288688622825,0.797412729559,0.0281756335993,1.17496386986e-05,0.00804850250855,0.0,0.0,0.0,125244
294,19000,0.138432765204,0.0,0.0290447192938,0.797076602803,0.0273303127122,2.22650205395e-05,0.0080933349661,0.0,0.0,0.0,127226
294,20000,0.141270193925,0.0,0.0296971043472,0.794468953989,0.0262375556755,2.11593190931e-05,0.00830503274405,0.0,0.0,0.0,131301
294,21000,0.143816079906,0.0,0.0301863591925,0.792172712338,0.0253585575053,2.01578358547e-05,0.00844613322314,0.0,0.0,0.0,134653
294,22000,0.145082905892,0.0,0.0304966654798,0.791508280966,0.0243472905219,1.92468699778e-05,0.00854561027013,0.0,0.0,0.0,138555
294,23000,0.146428143961,0.0,0.0307053483469,0.790770902194,0.0234962665611,1.84140020071e-05,0.00858092493532,0.0,0.0,0.0,141107
294,24000,0.147265955945,0.0,0.0308616916125,0.790392897487,0.0227954673821,1.76503812482e-05,0.00866633719288,0.0,0.0,0.0,144213
294,25000,0.149691567245,0.0,0.031351681128,0.787960954447,0.0221325921909,1.69468546638e-05,0.00884625813449,0.0,0.0,0.0,147089
294,26000,0.151527252575,0.0,0.0316860086061,0.786225387925,0.021588538271,1.6299387143e-05,0.0089565132351,0.0,0.0,0.0,150072
